ID,0007CB64B4,0007CB7051,0007CD5116,0007CD765E,0007CD86B3,0007CDAD6B,0007CDADED,0007CDC395,0007CDC443,0007CDE4F0
0007CB64B4,0,310,78,1,397,50,58,209,63,92
0007CB7051,310,0,8,16,167,28,40,176,112,56
0007CD5116,78,8,0,14,15,0,14,5,0,7
0007CD765E,1,16,14,0,5,1,6,0,50,4
0007CD86B3,397,167,15,5,0,17,64,117,59,171
0007CDAD6B,50,28,0,1,17,0,4,8,16,2
0007CDADED,58,40,14,6,64,4,0,109,27,123
0007CDC395,209,176,5,0,117,8,109,0,79,25
0007CDC443,63,112,0,50,59,16,27,79,0,14
0007CDE4F0,92,56,7,4,171,2,123,25,14,0
