ID,0007CB64B4,0007CB7051,0007CD5116,0007CD765E,0007CD86B3,0007CDAD6B,0007CDADED,0007CDC395,0007CDC443,0007CDE4F0
0007CB64B4,0,2.16947368421053,3.35166666666667,0,2.76978776529338,1.20833333333333,4.32476190476191,4.0413612565445,3.06792452830189,3.58954248366013
0007CB7051,2.16947368421053,0,3.43333333333333,3.61111111111111,2.14226804123712,2.06666666666667,2.13333333333333,3.01013645224172,1.89022988505747,2.25833333333333
0007CD5116,3.35166666666667,3.43333333333333,0,1.44814814814815,1.56666666666667,0,7.83333333333333,1.2,0,4.47916666666667
0007CD765E,0,3.61111111111111,1.44814814814815,0,0,0,6.33846153846154,0,2.6843137254902,11.1133333333333
0007CD86B3,2.76978776529338,2.14226804123712,1.56666666666667,0,0,0,2.12666666666667,2.82619047619048,2.45213675213675,3.30197530864198
0007CDAD6B,1.20833333333333,2.06666666666667,0,0,0,0,0,0,0,0
0007CDADED,4.32476190476191,2.13333333333333,7.83333333333333,6.33846153846154,2.12666666666667,0,0,4.08648148148148,2.64,3.45216049382716
0007CDC395,4.0413612565445,3.01013645224172,1.2,0,2.82619047619048,0,4.08648148148148,0,3.11934156378601,5.30547263681592
0007CDC443,3.06792452830189,1.89022988505747,0,2.6843137254902,2.45213675213675,0,2.64,3.11934156378601,0,1.86666666666667
0007CDE4F0,3.58954248366013,2.25833333333333,4.47916666666667,11.1133333333333,3.30197530864198,0,3.45216049382716,5.30547263681592,1.86666666666667,0
