"","start_frame","focal","partner","focal_smooth","partner_smooth","day","group","approacher_smooth"
"1",935180,"0007AC2B02","0007CB0942",264.998773183197,26.0260582229158,"15",1,"0007AC2B02"
"2",954931,"0007AC2B02","0007CB0942",12.6822502120607,NA,"15",1,NA
"3",977507,"0007AC2B02","0007CB0942",5.71101307743231,81.537630971305,"15",1,"0007CB0942"
"4",977740,"0007AC2B02","0007CB0942",12.4201035388665,19.4613394001136,"15",1,"0007CB0942"
"5",977784,"0007AC2B02","0007CB0942",8.37354936685423,25.3929630528689,"15",1,"0007CB0942"
"6",977947,"0007AC2B02","0007CB0942",13.1059546655083,63.0603897161059,"15",1,"0007CB0942"
"7",987073,"0007AC2B02","0007CB0942",17.8781666411169,NA,"15",1,NA
"8",991433,"0007AC2B02","0007CB0942",32.1771137112694,NA,"15",1,NA
"9",995440,"0007AC2B02","0007CB0942",60.3432681310961,NA,"15",1,NA
"10",995481,"0007AC2B02","0007CB0942",8.04474498190389,1.45986000767675,"15",1,"0007AC2B02"
"11",996160,"0007AC2B02","0007CB0942",4.16159275874133,4.93641809797067,"15",1,"0007CB0942"
"12",996259,"0007AC2B02","0007CB0942",408.600458619687,4.20349067956544,"15",1,"0007AC2B02"
"13",996396,"0007AC2B02","0007CB0942",2.73272471999025,113.43895345983,"15",1,"0007CB0942"
"14",1444744,"0007AC2B02","0007CB0942",109.378652354478,NA,"15",1,NA
"15",1445337,"0007AC2B02","0007CB0942",390.589878727945,231.943238067234,"15",1,"0007AC2B02"
"16",1692417,"0007AC2B02","0007CB0942",NA,NA,"15",1,NA
"17",1692457,"0007AC2B02","0007CB0942",27.2200968158267,9.07345646677624,"15",1,"0007AC2B02"
"18",1829569,"0007AC2B02","0007CB0942",51.2202017613214,314.572005966212,"15",1,"0007CB0942"
"19",653618,"0007AC2B02","0007CB44CE",192.397707224778,9.69244131327386,"15",1,"0007AC2B02"
"20",701059,"0007AC2B02","0007CB44CE",28.7331553049477,NA,"15",1,NA
