ID,0007CA3A3A,0007CB0942,0007CB2302,0007CB30A6,0007CB3713,0007CB47A6,0007CDDBAF,0007CDE223,0007CDEC0B,0007CE0327
0007CA3A3A,0,119,369,109,153,153,358,281,352,116
0007CB0942,119,0,22,141,58,81,338,203,193,77
0007CB2302,369,22,0,156,66,51,124,88,92,91
0007CB30A6,109,141,156,0,41,70,120,127,65,58
0007CB3713,153,58,66,41,0,136,144,148,213,89
0007CB47A6,153,81,51,70,136,0,256,350,295,216
0007CDDBAF,358,338,124,120,144,256,0,828,450,173
0007CDE223,281,203,88,127,148,350,828,0,744,287
0007CDEC0B,352,193,92,65,213,295,450,744,0,112
0007CE0327,116,77,91,58,89,216,173,287,112,0
