ID,0007CA3B1C,0007CB1E1F,0007CB2183,0007CB2277,0007CB3D9B,0007CB3F5E,0007CB6BC3,0007F2945F,0007F2B8A6,0007F2E455
0007CA3B1C,0,348,91,332,68,300,42,72,102,242
0007CB1E1F,348,0,194,233,153,203,97,128,146,416
0007CB2183,91,194,0,161,107,245,31,102,131,323
0007CB2277,332,233,161,0,128,323,133,124,193,530
0007CB3D9B,68,153,107,128,0,220,257,171,287,970
0007CB3F5E,300,203,245,323,220,0,237,223,178,424
0007CB6BC3,42,97,31,133,257,237,0,177,72,261
0007F2945F,72,128,102,124,171,223,177,0,231,488
0007F2B8A6,102,146,131,193,287,178,72,231,0,625
0007F2E455,242,416,323,530,970,424,261,488,625,0
