ID,0007CB0CDD,0007CB0F67,0007CB48B4,0007CB6DFA,0007F29741,0007F2B88A,0007F2C687,0007F2EEFA,0007F2F26A,0007F2F283
0007CB0CDD,0,506.85,1873.75,451.55,491.8,236.9,1392.55,1942.35,1199.25,1559.45
0007CB0F67,506.85,0,503.75,167.5,512.45,288.15,1156.95,242.15,463.7,237.7
0007CB48B4,1873.75,503.75,0,728.85,470.45,325.65,479.8,651.55,643.45,446.45
0007CB6DFA,451.55,167.5,728.85,0,316.25,141.9,258.1,59.05,477.15,145.7
0007F29741,491.8,512.45,470.45,316.25,0,59.05,308.5,368,253.15,147.95
0007F2B88A,236.9,288.15,325.65,141.9,59.05,0,351.25,95.05,461.55,274.75
0007F2C687,1392.55,1156.95,479.8,258.1,308.5,351.25,0,243.15,1161.15,300.4
0007F2EEFA,1942.35,242.15,651.55,59.05,368,95.05,243.15,0,237,485.3
0007F2F26A,1199.25,463.7,643.45,477.15,253.15,461.55,1161.15,237,0,1079.8
0007F2F283,1559.45,237.7,446.45,145.7,147.95,274.75,300.4,485.3,1079.8,0
