ID,0007CB2224,0007CB3491,0007CB4837,0007CB6AB4,0007CD5116,0007CDE223,0007CDE4F0,0007CDEAA7,0007CDEC0B,0007CDEEE2
0007CB2224,0,73,40,57,7,153,1,22,87,51
0007CB3491,73,0,150,360,24,189,46,144,249,456
0007CB4837,40,150,0,559,46,62,30,122,323,233
0007CB6AB4,57,360,559,0,27,258,319,284,1242,603
0007CD5116,7,24,46,27,0,46,144,16,49,29
0007CDE223,153,189,62,258,46,0,16,132,214,370
0007CDE4F0,1,46,30,319,144,16,0,18,71,131
0007CDEAA7,22,144,122,284,16,132,18,0,178,156
0007CDEC0B,87,249,323,1242,49,214,71,178,0,766
0007CDEEE2,51,456,233,603,29,370,131,156,766,0
