ID,0006CB224,0007ABF555,0007AC2B02,0007ACA781,0007CB7051,0007CD6778,0007CD765E,0007CDADED,0007CDC443,0007CDEAA7
0006CB224,0,72,94,37,79,57,0,55,106,39
0007ABF555,72,0,218,184,196,79,20,141,69,85
0007AC2B02,94,218,0,350,1008,248,116,183,281,181
0007ACA781,37,184,350,0,391,107,50,461,201,329
0007CB7051,79,196,1008,391,0,230,314,185,390,227
0007CD6778,57,79,248,107,230,0,12,87,104,84
0007CD765E,0,20,116,50,314,12,0,19,37,24
0007CDADED,55,141,183,461,185,87,19,0,171,115
0007CDC443,106,69,281,201,390,104,37,171,0,82
0007CDEAA7,39,85,181,329,227,84,24,115,82,0
