ID,0007CA3A3A,0007CB0942,0007CB30A6,0007CB486D,0007CD5116,0007CD86B3,0007CDC91B,0007CDDBAF,0007CDE223,0007CDEC0B
0007CA3A3A,0,75,58,176,12,95,236,107,178,90
0007CB0942,57,0,30,85,12,86,103,59,93,87
0007CB30A6,59,24,0,81,5,93,118,56,63,37
0007CB486D,189,70,118,0,21,232,261,212,244,206
0007CD5116,12,6,14,13,0,17,25,27,36,19
0007CD86B3,91,62,90,246,15,0,310,238,288,182
0007CDC91B,130,73,89,159,13,217,0,203,193,100
0007CDDBAF,110,50,64,213,14,252,262,0,325,122
0007CDE223,149,103,75,224,21,304,268,248,0,149
0007CDEC0B,109,129,63,203,12,260,200,186,222,0
