ID,0007AC2B02,0007CB0942,0007CB44CE,0007CB7051,0007CD6778,0007CD765E,0007CD77C5,0007CDADED,0007CDC443,0007CDDBAF
0007AC2B02,0,0.8,0.517241379310345,0.479166666666667,0.333333333333333,0.8,0.577777777777778,0.533333333333333,0.444444444444444,0.619047619047619
0007CB0942,0.2,0,0.375,0.545454545454545,0.384615384615385,0,0.538461538461538,0.533333333333333,0.75,0.333333333333333
0007CB44CE,0.482758620689655,0.625,0,0.214285714285714,1,1,0.463414634146341,0.571428571428571,0.291666666666667,0.269230769230769
0007CB7051,0.520833333333333,0.454545454545455,0.785714285714286,0,0.25,0.6,0.5,0.615384615384615,0.4,0.434782608695652
0007CD6778,0.666666666666667,0.615384615384615,0,0.75,0,0,1,1,0.727272727272727,0.6
0007CD765E,0.2,0,0,0.4,0,0,0.25,0,0.5,0
0007CD77C5,0.422222222222222,0.461538461538462,0.536585365853659,0.5,0,0.75,0,0.538461538461538,0.111111111111111,0.2
0007CDADED,0.466666666666667,0.466666666666667,0.428571428571429,0.384615384615385,0,0,0.461538461538462,0,0.6,0.5
0007CDC443,0.555555555555556,0.25,0.708333333333333,0.6,0.272727272727273,0.5,0.888888888888889,0.4,0,0.642857142857143
0007CDDBAF,0.380952380952381,0.666666666666667,0.730769230769231,0.565217391304348,0.4,1,0.8,0.5,0.357142857142857,0
