ID,0007CB0A48,0007CB0AD4,0007CB2ED2,0007CB321B,0007CB39C9,0007CB464C,0007F2B770,0007F2B957,0007F2BA9B,0007F2CA05
0007CB0A48,0,215,340,65,108,194,73,325,4,110
0007CB0AD4,294,0,265,40,67,136,61,212,2,72
0007CB2ED2,385,234,0,60,133,179,65,400,30,115
0007CB321B,124,57,110,0,45,77,37,125,9,24
0007CB39C9,199,74,237,48,0,92,50,222,9,63
0007CB464C,293,124,207,45,72,0,55,230,2,64
0007F2B770,105,86,118,45,68,75,0,185,3,29
0007F2B957,335,245,413,57,166,207,99,0,12,99
0007F2BA9B,10,7,11,6,1,5,16,10,0,2
0007F2CA05,97,55,89,13,46,46,27,109,1,0
