ID,0007CB0A48,0007CB0AD4,0007CB2ED2,0007CB321B,0007CB39C9,0007CB464C,0007F2B770,0007F2B957,0007F2BA9B,0007F2CA05
0007CB0A48,0,1.89080459770115,2.06163522012579,2.03333333333333,2.04583333333333,3.305,1.81,1.99166666666667,1.76,1.372
0007CB0AD4,1.89080459770115,0,1.8201646090535,1.36296296296296,3.87111111111111,1.60740740740741,1.95,3.14833333333333,2.23939393939394,1.85666666666667
0007CB2ED2,2.06163522012579,1.8201646090535,0,0,4.24848484848485,2.58266666666667,2.19,2.17727272727273,2.08965517241379,2.21944444444444
0007CB321B,2.03333333333333,1.36296296296296,0,0,0,1.64074074074074,0,2.87916666666667,1.78181818181818,1.21666666666667
0007CB39C9,2.04583333333333,3.87111111111111,4.24848484848485,0,0,1.80833333333333,1.2,0,1.59824561403509,1.47142857142857
0007CB464C,3.305,1.60740740740741,2.58266666666667,1.64074074074074,1.80833333333333,0,2.31212121212121,1.8,1.97333333333333,2.41794871794872
0007F2B770,1.81,1.95,2.19,0,1.2,2.31212121212121,0,2.33333333333333,1.62083333333333,1.82280701754386
0007F2B957,1.99166666666667,3.14833333333333,2.17727272727273,2.87916666666667,0,1.8,2.33333333333333,0,1.48571428571429,1.35555555555556
0007F2BA9B,1.76,2.23939393939394,2.08965517241379,1.78181818181818,1.59824561403509,1.97333333333333,1.62083333333333,1.48571428571429,0,2.23939393939394
0007F2CA05,1.372,1.85666666666667,2.21944444444444,1.21666666666667,1.47142857142857,2.41794871794872,1.82280701754386,1.35555555555556,2.23939393939394,0
