ID,0007CA3B1C,0007CB1E1F,0007CB2183,0007CB2277,0007CB3D9B,0007CB3F5E,0007CB6BC3,0007F2945F,0007F2B8A6,0007F2E455
0007CA3B1C,0,0.666666666666667,0,0.666666666666667,0,0,0,0.363636363636364,0,0.2
0007CB1E1F,0.333333333333333,0,0,0,0,1,0.666666666666667,1,0.166666666666667,0
0007CB2183,0,0,0,0,0,0,0,0,0,1
0007CB2277,0.333333333333333,0,0,0,0,0,1,1,0,0
0007CB3D9B,0,0,0,0,0,0,0,0,0,0
0007CB3F5E,1,0,0,1,0,0,0.6,1,0,0.4
0007CB6BC3,1,0.333333333333333,0,0,1,0.4,0,1,0,0.5
0007F2945F,0.636363636363636,0,0,0,0,0,0,0,0,0.272727272727273
0007F2B8A6,0,0.833333333333333,0,1,0,0,1,1,0,0.571428571428571
0007F2E455,0.8,1,0,0,0,0.6,0.5,0.727272727272727,0.428571428571429,0
