ID,0007CB0CDD,0007CB0F67,0007CB48B4,0007CB6DFA,0007F29741,0007F2B88A,0007F2C687,0007F2EEFA,0007F2F26A,0007F2F283
0007CB0CDD,0,1.9,52.2,0,6.75,3.75,0,40.1,10.45,3.35
0007CB0F67,1.9,0,2.5,9.15,0,0,21.4,0,8.35,1.9
0007CB48B4,52.2,2.5,0,61.25,0,6.6,7.85,0,23.55,15.8
0007CB6DFA,0,9.15,61.25,0,8.35,0,14.6,42.9,42.45,18.8
0007F29741,6.75,0,0,8.35,0,0,0,8.75,0,0
0007F2B88A,3.75,0,6.6,0,0,0,44.7,4.1,21.7,0
0007F2C687,0,21.4,7.85,14.6,0,44.7,0,21.45,0,7.2
0007F2EEFA,40.1,0,0,42.9,8.75,4.1,21.45,0,0,5.3
0007F2F26A,10.45,8.35,23.55,42.45,0,21.7,0,0,0,80.1
0007F2F283,3.35,1.9,15.8,18.8,0,0,7.2,5.3,80.1,0
