ID,0007CA3A72,0007CB0B74,0007CB0DBC,0007CB2407,0007F2B3FF,0007F2B59E,0007F2B8A2,0007F2B9FC,0007F2E37E,0007F2E3D4
0007CA3A72,0,0.5,0.142857142857143,0.8,1,0.625,0.6875,0.5,1,0.444444444444444
0007CB0B74,0.5,0,0.727272727272727,1,0,0.761904761904762,0.333333333333333,0,0,0
0007CB0DBC,0.857142857142857,0.272727272727273,0,0.6,1,0.413793103448276,0.272727272727273,0.9,0.458333333333333,0.5
0007CB2407,0.2,0,0.4,0,0,0.6,0.6,0,0.5,0
0007F2B3FF,0,0,0,1,0,0.714285714285714,1,0.666666666666667,0,0.666666666666667
0007F2B59E,0.375,0.238095238095238,0.586206896551724,0.4,0.285714285714286,0,0.625,0.555555555555556,0.25,0.4
0007F2B8A2,0.3125,0.666666666666667,0.727272727272727,0.4,0,0.375,0,0.6,0,0.5
0007F2B9FC,0.5,0,0.1,0,0.333333333333333,0.444444444444444,0.4,0,1,0.642857142857143
0007F2E37E,0,0,0.541666666666667,0.5,1,0.75,1,0,0,0
0007F2E3D4,0.555555555555556,0,0.5,1,0.333333333333333,0.6,0.5,0.357142857142857,1,0
