ID,0007CB0CDD,0007CB0F67,0007CB48B4,0007CB6DFA,0007F29741,0007F2B88A,0007F2C687,0007F2EEFA,0007F2F26A,0007F2F283
0007CB0CDD,0,0.875,0.333333333333333,1,0.666666666666667,0,0.75,0.846153846153846,0.666666666666667,1
0007CB0F67,0.125,0,0.833333333333333,0,0.333333333333333,1,0.6,0.4,0,1
0007CB48B4,0.666666666666667,0.166666666666667,0,0.111111111111111,0,0.666666666666667,0,0.875,0,0.666666666666667
0007CB6DFA,0,1,0.888888888888889,0,0.5,0,0,0,0.333333333333333,0.5
0007F29741,0.333333333333333,0.666666666666667,1,0.5,0,0,0,0.4,0.5,0
0007F2B88A,0,0,0.333333333333333,0,1,0,0.5,0.5,1,0.285714285714286
0007F2C687,0.25,0.4,1,0,0,0.5,0,1,1,1
0007F2EEFA,0.153846153846154,0.6,0.125,1,0.6,0.5,0,0,1,0.714285714285714
0007F2F26A,0.333333333333333,1,1,0.666666666666667,0.5,0,0,0,0,0.25
0007F2F283,0,0,0.333333333333333,0.5,0,0.714285714285714,0,0.285714285714286,0.75,0
