ID,0007CB0CDD,0007CB0F67,0007CB48B4,0007CB6DFA,0007F29741,0007F2B88A,0007F2C687,0007F2EEFA,0007F2F26A,0007F2F283
0007CB0CDD,0,2.90384615384615,2.96052631578947,2.94705882352941,3.80131578947368,2.975,3.40483870967742,6.20483870967742,3.47741935483871,13.3511363636364
0007CB0F67,2.90384615384615,0,3.68571428571429,3.15625,3.79107142857143,4.21086956521739,2.790625,3.63461538461538,4.37833333333333,3.78636363636364
0007CB48B4,2.96052631578947,3.68571428571429,0,2.37794117647059,2.35,2.76666666666667,3.83676470588235,2.95961538461538,4.66666666666667,4.40434782608696
0007CB6DFA,2.94705882352941,3.15625,2.37794117647059,0,2.79032258064516,2.72916666666667,4.28333333333333,2.75555555555556,2.85,2.32307692307692
0007F29741,3.80131578947368,3.79107142857143,2.35,2.79032258064516,0,2.725,3.40434782608696,2.825,3.408,4.77
0007F2B88A,2.975,4.21086956521739,2.76666666666667,2.72916666666667,2.725,0,3.93571428571429,3.93571428571429,3.29705882352941,4.45
0007F2C687,3.40483870967742,2.790625,3.83676470588235,4.28333333333333,3.40434782608696,3.93571428571429,0,3.17857142857143,3.73571428571429,7.95909090909091
0007F2EEFA,6.20483870967742,3.63461538461538,2.95961538461538,2.75555555555556,2.825,3.93571428571429,3.17857142857143,0,2.59444444444444,4.27073170731707
0007F2F26A,3.47741935483871,4.37833333333333,4.66666666666667,2.85,3.408,3.29705882352941,3.73571428571429,2.59444444444444,0,3.97611940298507
0007F2F283,13.3511363636364,3.78636363636364,4.40434782608696,2.32307692307692,4.77,4.45,7.95909090909091,4.27073170731707,3.97611940298507,0
