ID,0007CB2224,0007CB3491,0007CB4837,0007CB6AB4,0007CD5116,0007CDE223,0007CDE4F0,0007CDEAA7,0007CDEC0B,0007CDEEE2
0007CB2224,0,1,0,0.2,0,0.625,0,0,0.5,1
0007CB3491,0,0,0.5,0.380952380952381,0,0.833333333333333,0,0.555555555555556,0.625,0.857142857142857
0007CB4837,1,0.5,0,0.276595744680851,0,0,0,0.111111111111111,0.5,0.583333333333333
0007CB6AB4,0.8,0.619047619047619,0.723404255319149,0,0,0.5625,0.222222222222222,0.586206896551724,0.561904761904762,0.255813953488372
0007CD5116,0,1,0,0,0,0,0.4,0,0,0
0007CDE223,0.375,0.166666666666667,1,0.4375,1,0,0,0.25,0.428571428571429,0.5
0007CDE4F0,0,0,0,0.777777777777778,0.6,1,0,0,0.5,0.333333333333333
0007CDEAA7,1,0.444444444444444,0.888888888888889,0.413793103448276,1,0.75,0,0,0.6,0.5
0007CDEC0B,0.5,0.375,0.5,0.438095238095238,0,0.571428571428571,0.5,0.4,0,0.442622950819672
0007CDEEE2,0,0.142857142857143,0.416666666666667,0.744186046511628,0,0.5,0.666666666666667,0.5,0.557377049180328,0
