ID,0007CB2224,0007CB3491,0007CB4837,0007CB6AB4,0007CD5116,0007CDE223,0007CDE4F0,0007CDEAA7,0007CDEC0B,0007CDEEE2
0007CB2224,0,2.06944444444444,3.64166666666667,2.11666666666667,0,2.23809523809524,0,1.98666666666667,0,0
0007CB3491,2.06944444444444,0,2.04444444444444,3.16274509803922,2.18333333333333,2.05757575757576,0,2.33650793650794,3.57361111111111,1.82727272727273
0007CB4837,3.64166666666667,2.04444444444444,0,1.97666666666667,0,1.71111111111111,1.03333333333333,2.31,1.81212121212121,1.89444444444444
0007CB6AB4,2.11666666666667,3.16274509803922,1.97666666666667,0,0,2.27361111111111,2.12564102564103,2.37777777777778,3.59527027027027,2.46262626262626
0007CD5116,0,2.18333333333333,0,0,0,2.2,2.62380952380952,0,2.77777777777778,0
0007CDE223,2.23809523809524,2.05757575757576,1.71111111111111,2.27361111111111,2.2,0,1.28333333333333,2.30606060606061,2.08680555555556,2.04666666666667
0007CDE4F0,0,0,1.03333333333333,2.12564102564103,2.62380952380952,1.28333333333333,0,0,0,0
0007CDEAA7,1.98666666666667,2.33650793650794,2.31,2.37777777777778,0,2.30606060606061,0,0,2.06666666666667,2.09583333333333
0007CDEC0B,0,3.57361111111111,1.81212121212121,3.59527027027027,2.77777777777778,2.08680555555556,0,2.06666666666667,0,2.31111111111111
0007CDEEE2,0,1.82727272727273,1.89444444444444,2.46262626262626,0,2.04666666666667,0,2.09583333333333,2.31111111111111,0
