ID,0007CA3A72,0007CB0B74,0007CB0DBC,0007CB2407,0007F2B3FF,0007F2B59E,0007F2B8A2,0007F2B9FC,0007F2E37E,0007F2ED4
0007CA3A72,0,0.333333333333333,0,0.625,0,0.461538461538462,0.25,0.5,0.222222222222222,0.5
0007CB0B74,0.666666666666667,0,0.833333333333333,0.333333333333333,0.5,0.444444444444444,0.5,0,0.4,0.8
0007CB0DBC,1,0.166666666666667,0,0.571428571428571,0,0.586206896551724,0.5,0,0.481481481481481,0
0007CB2407,0.375,0.666666666666667,0.428571428571429,0,0.5,0.7,0.888888888888889,0.5,0.857142857142857,0.5
0007F2B3FF,1,0.5,1,0.5,0,0.333333333333333,0.666666666666667,0,0.555555555555556,0.142857142857143
0007F2B59E,0.538461538461538,0.555555555555556,0.413793103448276,0.3,0.666666666666667,0,0.285714285714286,0.222222222222222,0.535714285714286,0.333333333333333
0007F2B8A2,0.75,0.5,0.5,0.111111111111111,0.333333333333333,0.714285714285714,0,0.25,0.666666666666667,0.5
0007F2B9FC,0.5,1,1,0.5,0,0.777777777777778,0.75,0,0.666666666666667,0.5
0007F2E37E,0.777777777777778,0.6,0.518518518518518,0.142857142857143,0.444444444444444,0.464285714285714,0.333333333333333,0.333333333333333,0,0.285714285714286
0007F2ED4,0.5,0.2,1,0.5,0.857142857142857,0.666666666666667,0.5,0.5,0.714285714285714,0
