ID,0007CA3A72,0007CB0B74,0007CB0DBC,0007CB2407,0007F2B3FF,0007F2B59E,0007F2B8A2,0007F2B9FC,0007F2E37E,0007F2ED4
0007CA3A72,0,12,17,7,22,18,13,7,10,7
0007CB0B74,12,0,11,10,29,12,6,1,13,7
0007CB0DBC,17,11,0,25,76,61,38,11,116,35
0007CB2407,7,10,25,0,38,20,15,5,44,27
0007F2B3FF,22,29,76,38,0,90,107,23,217,51
0007F2B59E,18,12,61,20,90,0,98,18,56,41
0007F2B8A2,13,6,38,15,107,98,0,37,43,11
0007F2B9FC,7,1,11,5,23,18,37,0,14,12
0007F2E37E,10,13,116,44,217,56,43,14,0,39
0007F2ED4,7,7,35,27,51,41,11,12,39,0
