ID,0007CB0CDD,0007CB0F67,0007CB48B4,0007CB6DFA,0007F29741,0007F2B88A,0007F2C687,0007F2EEFA,0007F2F26A,0007F2F283
0007CB0CDD,0,0,0.357142857142857,1,0,0,0,0.2,0.25,1
0007CB0F67,0,0,0.5,0,0,0,0,1,0.25,1
0007CB48B4,0.642857142857143,0.5,0,0,0,0,1,0.25,0.166666666666667,0.5
0007CB6DFA,0,0,1,0,0.125,0,0,0.333333333333333,0.6,0.25
0007F29741,1,0,1,0.875,0,0,0,0.75,0,0
0007F2B88A,0,0,0,0,0,0,0.6,0,0.857142857142857,0
0007F2C687,0,1,0,0,0,0.4,0,0,0.5,0
0007F2EEFA,0.8,0,0.75,0.666666666666667,0.25,1,0,0,0,0
0007F2F26A,0.75,0.75,0.833333333333333,0.4,0,0.142857142857143,0.5,1,0,0.4
0007F2F283,0,0,0.5,0.75,0,0,0,0,0.6,0
