ID,0007CB0CDD,0007CB0F67,0007CB48B4,0007CB6DFA,0007F29741,0007F2B88A,0007F2C687,0007F2EEFA,0007F2F26A,0007F2F283
0007CB0CDD,0,0,2.80714285714286,1.75,0,2.78333333333333,3.41666666666667,2.99333333333333,4.35,4.55
0007CB0F67,0,0,0,1.975,0,2.16,1.75,0,0,0
0007CB48B4,2.80714285714286,0,0,2.25,0,2.125,3.3375,0,3.13,1.87142857142857
0007CB6DFA,1.75,1.975,2.25,0,0,3.98571428571429,4.03,2.4875,3.13,4.3
0007F29741,0,0,0,0,0,0,0,0,0,0
0007F2B88A,2.78333333333333,2.16,2.125,3.98571428571429,0,0,2.97,0,3.114,0
0007F2C687,3.41666666666667,1.75,3.3375,4.03,0,2.97,0,0,3.9,0
0007F2EEFA,2.99333333333333,0,0,2.4875,0,0,0,0,0,1.8
0007F2F26A,4.35,0,3.13,3.13,0,3.114,3.9,0,0,2.39210526315789
0007F2F283,4.55,0,1.87142857142857,4.3,0,0,0,1.8,2.39210526315789,0
