ID,0007CA3A72,0007CB0B74,0007CB0DBC,0007CB2407,0007F2B3FF,0007F2B59E,0007F2B8A2,0007F2B9FC,0007F2E37E,0007F2E3D4
0007CA3A72,0,0,0,0,0,0,0,0,0,0
0007CB0B74,0,0,0,0,0,0,0,0,0,0
0007CB0DBC,0,0,0,0,0,0,0,0,12.1764705882353,0
0007CB2407,0,0,0,0,0,0,0,0,0,0
0007F2B3FF,0,0,0,0,0,0,0,0,23.4117647058824,0
0007F2B59E,0,0,0,0,0,0,2.05882352941176,0,0,0
0007F2B8A2,0,0,0,0,0,2.05882352941176,0,0,0,0
0007F2B9FC,0,0,0,0,0,0,0,0,0,59
0007F2E37E,0,0,12.1764705882353,0,23.4117647058824,0,0,0,0,0
0007F2E3D4,0,0,0,0,0,0,0,59,0,0
