ID,0007CA3B1C,0007CB1E1F,0007CB2183,0007CB2277,0007CB3D9B,0007CB3F5E,0007CB6BC3,0007F2945F,0007F2B8A6,0007F2E455
0007CA3B1C,0,24.7,0,25.3333333333333,0,3.46666666666667,1.36666666666667,5.1,0,1.1
0007CB1E1F,24.7,0,1.16666666666667,13.6333333333333,4.13333333333333,6.3,16,3.33333333333333,9.33333333333333,3.83333333333333
0007CB2183,0,1.16666666666667,0,0,0,3.9,0,0,46.2333333333333,0
0007CB2277,25.3333333333333,13.6333333333333,0,0,0,0,13.5666666666667,4.83333333333333,0,1.6
0007CB3D9B,0,4.13333333333333,0,0,0,0,5.93333333333333,0,0,5
0007CB3F5E,3.46666666666667,6.3,3.9,0,0,0,28.7,0,0,0
0007CB6BC3,1.36666666666667,16,0,13.5666666666667,5.93333333333333,28.7,0,15.1666666666667,0,0
0007F2945F,5.1,3.33333333333333,0,4.83333333333333,0,0,15.1666666666667,0,0,0
0007F2B8A6,0,9.33333333333333,46.2333333333333,0,0,0,0,0,0,0
0007F2E455,1.1,3.83333333333333,0,1.6,5,0,0,0,0,0
