ID,0007CB64B4,0007CB7051,0007CD5116,0007CD765E,0007CD86B3,0007CDAD6B,0007CDADED,0007CDC395,0007CDC443,0007CDE4F0
0007CB64B4,0,0.642857142857143,0.5,0,0.651162790697674,0,0.466666666666667,0.421052631578947,0.538461538461538,0.615384615384615
0007CB7051,0.357142857142857,0,0,0.25,0.466666666666667,0,0.166666666666667,0.615384615384615,0.222222222222222,0
0007CD5116,0.5,0,0,1,0,0,0,0,0,0.5
0007CD765E,0,0.75,0,0,0,0,0,0,1,0
0007CD86B3,0.348837209302326,0.533333333333333,0,0,0,0,0,0.6,0.5,0.394736842105263
0007CDAD6B,0,0,0,0,0,0,0,0,0,0
0007CDADED,0.533333333333333,0.833333333333333,0,0,1,0,0,0.777777777777778,0,0.333333333333333
0007CDC395,0.578947368421053,0.384615384615385,0,0,0.4,0,0.222222222222222,0,0.571428571428571,0.5
0007CDC443,0.461538461538462,0.777777777777778,0,0,0.5,0,0,0.428571428571429,0,0
0007CDE4F0,0.384615384615385,1,0.5,0,0.605263157894737,0,0.666666666666667,0.5,1,0
