ID,0007ABF555,0007ACA781,0007CB2224,0007CD38E5,0007CD72E3,0007CD7FB2,0007CD81D3,0007CDEAA7,0007CDEEE2,0007CE0327
0007ABF555,0,48.1666666666667,0,48.2333333333333,4.9,0,5.53333333333333,0,0,3.53333333333333
0007ACA781,48.1666666666667,0,0,45.8666666666667,30.1333333333333,0,19.6666666666667,6.03333333333333,36.6333333333333,44.9666666666667
0007CB2224,0,0,0,3.73333333333333,28.7333333333333,0,0,0,0,27.5666666666667
0007CD38E5,48.2333333333333,45.8666666666667,3.73333333333333,0,34,26.6666666666667,93.8666666666667,2.5,34.1,9.36666666666667
0007CD72E3,4.9,30.1333333333333,28.7333333333333,34,0,0,18.1333333333333,28.9,0,15.0666666666667
0007CD7FB2,0,0,0,26.6666666666667,0,0,0,0,0,6.2
0007CD81D3,5.53333333333333,19.6666666666667,0,93.8666666666667,18.1333333333333,0,0,1.7,12.4333333333333,13.5
0007CDEAA7,0,6.03333333333333,0,2.5,28.9,0,1.7,0,0,0
0007CDEEE2,0,36.6333333333333,0,34.1,0,0,12.4333333333333,0,0,13.6333333333333
0007CE0327,3.53333333333333,44.9666666666667,27.5666666666667,9.36666666666667,15.0666666666667,6.2,13.5,0,13.6333333333333,0
