ID,0007CA3A3A,0007CB0942,0007CB2302,0007CB30A6,0007CB3713,0007CB47A6,0007CDDBAF,0007CDE223,0007CDEC0B,0007CE0327
0007CA3A3A,0,27,115,13,59,31,121,89,44,65
0007CB0942,27,0,22,77,45,31,274,117,68,39
0007CB2302,115,22,0,25,63,9,78,57,15,33
0007CB30A6,13,77,25,0,10,13,25,25,15,21
0007CB3713,59,45,63,10,0,168,151,56,68,117
0007CB47A6,31,31,9,13,168,0,206,95,186,219
0007CDDBAF,121,274,78,25,151,206,0,497,203,157
0007CDE223,89,117,57,25,56,95,497,0,133,134
0007CDEC0B,44,68,15,15,68,186,203,133,0,67
0007CE0327,65,39,33,21,117,219,157,134,67,0
