ID,0007CA3A72,0007CB0B74,0007CB0DBC,0007CB2407,0007F2B3FF,0007F2B59E,0007F2B8A2,0007F2B9FC,0007F2E37E,0007F2E3D4
0007CA3A72,0,30,35,42,8,7,12,6,51,52
0007CB0B74,34,0,174,66,18,12,29,18,83,100
0007CB0DBC,17,134,0,209,62,45,95,69,290,274
0007CB2407,41,55,227,0,13,22,78,13,136,168
0007F2B3FF,9,12,49,25,0,11,33,32,68,45
0007F2B59E,0,7,34,19,4,0,7,5,19,35
0007F2B8A2,8,24,132,89,16,10,0,21,75,122
0007F2B9FC,11,15,78,10,18,7,12,0,60,89
0007F2E37E,23,47,243,104,33,25,55,42,0,238
0007F2E3D4,19,48,206,120,24,27,90,56,263,0
