ID,0007CB0CDD,0007CB0F67,0007CB48B4,0007CB6DFA,0007F29741,0007F2B88A,0007F2C687,0007F2EEFA,0007F2F26A,0007F2F283
0007CB0CDD,0,40,128,28,52,9,57,150,45,57
0007CB0F67,40,0,36,20,77,42,101,23,46,29
0007CB48B4,128,36,0,60,43,28,55,68,59,37
0007CB6DFA,28,20,60,0,40,12,17,13,27,22
0007F29741,52,77,43,40,0,8,35,58,37,24
0007F2B88A,9,42,28,12,8,0,36,11,22,30
0007F2C687,57,101,55,17,35,36,0,35,95,12
0007F2EEFA,150,23,68,13,58,11,35,0,18,65
0007F2F26A,45,46,59,27,37,22,95,18,0,90
0007F2F283,57,29,37,22,24,30,12,65,90,0
