ID,0007CB0942,0007CB2224,0007CB3491,0007CB4837,0007CD72E3,0007CD77C5,0007CDE223,0007CDEC0B,0007CDEEE2,0007CE0327
0007CB0942,0,103,97,18,78,67,93,33,102,17
0007CB2224,103,0,454,62,245,185,407,64,197,64
0007CB3491,97,454,0,42,164,133,142,57,92,33
0007CB4837,18,62,42,0,39,33,43,4,41,13
0007CD72E3,78,245,164,39,0,114,194,51,110,60
0007CD77C5,67,185,133,33,114,0,122,31,561,36
0007CDE223,93,407,142,43,194,122,0,87,150,98
0007CDEC0B,33,64,57,4,51,31,87,0,40,28
0007CDEEE2,102,197,92,41,110,561,150,40,0,46
0007CE0327,17,64,33,13,60,36,98,28,46,0
