ID,0007ABF555,0007ACA781,0007CB2224,0007CD38E5,0007CD72E3,0007CD7FB2,0007CD81D3,0007CDEAA7,0007CDEEE2,0007CE0327
0007ABF555,0,186,37,179,83,158,83,127,40,30
0007ACA781,186,0,21,84,129,86,62,77,127,43
0007CB2224,37,21,0,42,153,71,37,10,13,111
0007CD38E5,179,84,42,0,317,262,475,55,92,49
0007CD72E3,83,129,153,317,0,277,356,259,103,91
0007CD7FB2,158,86,71,262,277,0,155,104,55,61
0007CD81D3,83,62,37,475,356,155,0,54,75,191
0007CDEAA7,127,77,10,55,259,104,54,0,78,13
0007CDEEE2,40,127,13,92,103,55,75,78,0,45
0007CE0327,30,43,111,49,91,61,191,13,45,0
