ID,0007CA3A3A,0007CB0942,0007CB30A6,0007CB486D,0007CD5116,0007CD86B3,0007CDC91B,0007CDDBAF,0007CDE223,0007CDEC0B
0007CA3A3A,0,127,69,194,17,109,313,140,217,96
0007CB0942,127,0,57,82,23,100,156,97,173,239
0007CB30A6,69,57,0,162,16,144,140,94,72,35
0007CB486D,194,82,162,0,23,249,245,290,251,185
0007CD5116,17,23,16,23,0,13,36,39,36,33
0007CD86B3,109,100,144,249,13,0,346,310,269,275
0007CDC91B,313,156,140,245,36,346,0,349,208,172
0007CDDBAF,140,97,94,290,39,310,349,0,313,194
0007CDE223,217,173,72,251,36,269,208,313,0,131
0007CDEC0B,96,239,35,185,33,275,172,194,131,0
