ID,0007CA3A72,0007CB0B74,0007CB0DBC,0007CB2407,0007F2B3FF,0007F2B59E,0007F2B8A2,0007F2B9FC,0007F2E37E,0007F2ED4
0007CA3A72,0,21,7,22,10,23,14,4,15,12
0007CB0B74,9,0,12,11,14,25,9,1,13,8
0007CB0DBC,20,15,0,23,56,69,59,13,116,19
0007CB2407,16,15,24,0,35,41,51,6,53,25
0007F2B3FF,23,32,54,41,0,74,77,31,179,25
0007F2B59E,20,19,90,37,70,0,54,22,80,23
0007F2B8A2,23,10,39,21,51,76,0,39,49,18
0007F2B9FC,13,5,14,7,22,26,43,0,35,14
0007F2E37E,26,30,85,52,134,65,48,34,0,27
0007F2ED4,11,7,28,28,25,41,36,12,47,0
