ID,0007CB0A48,0007CB0AD4,0007CB2ED2,0007CB321B,0007CB39C9,0007CB464C,0007F2B770,0007F2B957,0007F2BA9B,0007F2CA05
0007CB0A48,0,233,395,77,129,255,96,346,17,133
0007CB0AD4,332,0,380,51,117,181,94,229,15,113
0007CB2ED2,470,303,0,72,156,218,99,451,49,158
0007CB321B,146,82,132,0,62,94,47,132,19,29
0007CB39C9,233,87,251,56,0,103,64,236,20,76
0007CB464C,362,157,244,58,92,0,65,248,15,82
0007F2B770,123,110,139,58,78,92,0,200,20,49
0007F2B957,364,255,463,62,180,237,118,0,18,106
0007F2BA9B,30,16,38,15,9,12,36,18,0,15
0007F2CA05,120,68,132,17,65,64,43,118,5,0
