ID,0007CB0CDD,0007CB0F67,0007CB48B4,0007CB6DFA,0007F29741,0007F2B88A,0007F2C687,0007F2EEFA,0007F2F26A,0007F2F283
0007CB0CDD,0,53,69,21,22,18,40,51,64,61
0007CB0F67,8,0,22,13,20,19,59,13,23,15
0007CB48B4,57,57,0,29,13,10,31,30,41,28
0007CB6DFA,15,21,45,0,17,15,18,2,28,13
0007F29741,23,42,42,16,0,5,20,19,15,8
0007F2B88A,4,31,25,13,5,0,16,5,12,16
0007F2C687,47,52,28,14,11,33,0,9,54,18
0007F2EEFA,92,19,34,8,23,10,15,0,22,25
0007F2F26A,35,39,36,26,17,24,67,6,0,59
0007F2F283,24,18,20,12,7,24,11,28,43,0
