ID,0007CB2224,0007CB3491,0007CB4837,0007CB6AB4,0007CD5116,0007CDE223,0007CDE4F0,0007CDEAA7,0007CDEC0B,0007CDEEE2
0007CB2224,0,12,14,23,1,53,1,6,23,11
0007CB3491,12,0,65,126,8,60,10,52,95,141
0007CB4837,15,44,0,175,18,13,5,45,109,85
0007CB6AB4,16,149,201,0,5,78,53,117,401,204
0007CD5116,4,10,9,9,0,7,27,7,25,4
0007CDE223,28,62,18,78,12,0,1,32,71,101
0007CDE4F0,0,14,9,72,32,7,0,7,24,36
0007CDEAA7,10,41,40,95,5,52,4,0,61,53
0007CDEC0B,19,77,90,365,4,69,11,64,0,237
0007CDEEE2,13,105,58,193,8,70,18,50,203,0
