ID,0007CB0942,0007CB2224,0007CB3491,0007CB4837,0007CD72E3,0007CD77C5,0007CDE223,0007CDEC0B,0007CDEEE2,0007CE0327
0007CB0942,0,55,69,16,88,85,61,11,69,4
0007CB2224,78,0,231,42,215,178,252,31,129,33
0007CB3491,48,240,0,30,154,105,113,23,83,18
0007CB4837,10,50,41,0,22,31,32,3,28,5
0007CD72E3,62,149,119,38,0,117,138,41,99,23
0007CD77C5,53,124,89,41,108,0,113,28,271,11
0007CDE223,44,203,77,25,116,98,0,26,110,20
0007CDEC0B,24,24,27,8,34,22,40,0,32,10
0007CDEEE2,42,86,53,17,92,264,122,14,0,16
0007CE0327,8,32,22,8,28,42,39,13,34,0
