ID,0007ABF555,0007ACA781,0007CB2224,0007CD38E5,0007CD72E3,0007CD7FB2,0007CD81D3,0007CDEAA7,0007CDEEE2,0007CE0327
0007ABF555,0,48,7,78,39,45,37,52,16,10
0007ACA781,84,0,11,70,92,21,86,26,79,35
0007CB2224,21,15,0,27,100,31,31,6,15,60
0007CD38E5,57,41,14,0,150,63,266,15,43,31
0007CD72E3,36,54,49,168,0,59,222,82,60,56
0007CD7FB2,83,56,41,147,175,0,101,37,30,53
0007CD81D3,29,29,12,247,194,42,0,15,53,89
0007CDEAA7,47,35,3,24,116,25,45,0,25,18
0007CDEEE2,27,54,10,70,100,31,77,28,0,45
0007CE0327,21,48,40,56,104,37,150,11,63,0
