Mouse_RFID,mutant,histology
0007CB44CE,False,
0007CDDBAF,False,
0007CD765E,False,
0007CB7051,False,
0007CD77C5,True,none
0007AC2B02,False,
0007CB0942,False,
0007CD6778,True,strong
0007CDC443,False,
0007CDADED,False,
0007CB6AB4,False,
0007CDE4F0,True,weak
0007CDEC0B,False,
0007CDEEE2,False,
0007CDE223,False,
0007CB3491,False,
0007CB2224,False,
0007CDEAA7,False,
0007CD5116,False,
0007CB4837,True,none
0007CDAD6B,False,
0007CE0327,False,
0007CDC91B,False,
0007CD86B3,False,
0007CD7FB2,True,strong
0007CDC395,True,strong
0007CD38E5,False,
0007CD81D3,False,
0007ABF555,True,strong
0007ACA781,False,
0007CD72E3,False,
0007CA3A3A,False,
0007CB30A6,True,weak
0007CB486D,True,none
0007CB40DE,False,
0007CB2302,True,
0007CB3713,False,
0007CB47A6,False,
0007F2B3FF,False,
0007CA3A72,True,strong
0007CB0B74,False,
0007CB0DBC,True,none
0007CB2407,True,strong
0007F2B8A2,True,none
0007F2B9FC,False,
0007F2B59E,False,
0007F2E3D4,False,
0007F2E37E,False,
0007CB0A48,False,
0007CB0AD4,False,
0007CB2ED2,False,
0007CB39C9,True,weak
0007CB321B,False,
0007CB464C,True,strong
0007F2B770,True,weak
0007F2B957,True,strong
0007F2BA9B,False,
0007F2CA05,True,weak
0007F2E455,True,strong
0007CA3B1C,False,
0007CB1E1F,False,
0007CB3D9B,False,
0007CB3F5E,False,
0007CB6BC3,False,
0007CB2183,True,strong
0007CB2277,True,strong
0007F2B8A6,True,
0007F2945F,False,
0007CB0CDD,False,
0007CB0F67,True,weak
0007CB6DFA,True,strong
0007CB48B4,False,
0007F2B88A,False,
0007F2C687,False,
0007F2EEFA,False,
0007F2F26A,False,
0007F2F283,True,strong
0007F29741,False,
0007F2E42C,False,
