Mouse_RFID,Group_ID,mutant,RC,age
0007CB44CE,1,FALSE,FALSE,55
0007CDDBAF,1,FALSE,FALSE,57
0007CD765E,1,FALSE,FALSE,57
0007CB7051,1,FALSE,FALSE,56
0007CD77C5,1,TRUE,TRUE,57
0007AC2B02,1,FALSE,TRUE,55
0007CB0942,1,FALSE,FALSE,55
0007CD6778,1,TRUE,FALSE,57
0007CDC443,1,FALSE,FALSE,55
0007CDADED,1,FALSE,FALSE,55
0007CB6AB4,2,FALSE,TRUE,56
0007CDE4F0,2,TRUE,FALSE,58
0007CDEC0B,2,FALSE,TRUE,75
0007CDEEE2,2,FALSE,TRUE,75
0007CDE223,2,FALSE,FALSE,75
0007CB3491,2,FALSE,FALSE,56
0007CB2224,2,FALSE,FALSE,58
0007CDEAA7,2,FALSE,FALSE,57
0007CD5116,2,FALSE,FALSE,57
0007CB4837,2,TRUE,FALSE,56
0007CDAD6B,3,FALSE,FALSE,78
0007CE0327,3,FALSE,FALSE,78
0007CDC91B,3,FALSE,FALSE,78
0007CDDBAF,3,FALSE,TRUE,61
0007CD86B3,3,FALSE,TRUE,78
0007CD7FB2,3,TRUE,FALSE,63
0007CDC395,3,TRUE,FALSE,63
0007CB0942,3,FALSE,FALSE,59
0007CD38E5,3,FALSE,FALSE,59
0007CD81D3,3,FALSE,TRUE,59
0007CD765E,4,FALSE,FALSE,62
0007ABF555,4,TRUE,FALSE,62
0007ACA781,4,FALSE,TRUE,79
0007CB7051,4,FALSE,TRUE,61
0007AC2B02,4,FALSE,FALSE,60
0007CDEAA7,4,FALSE,FALSE,60
0007CB2224,4,FALSE,FALSE,62
0007CDC443,4,FALSE,FALSE,60
0007CDADED,4,FALSE,FALSE,60
0007CD6778,4,TRUE,FALSE,62
0007CE0327,5,FALSE,FALSE,81
0007CDEC0B,5,FALSE,FALSE,81
0007CDDBAF,5,FALSE,FALSE,64
0007CDE223,5,FALSE,TRUE,81
0007CDEEE2,5,FALSE,TRUE,81
0007CD77C5,5,TRUE,FALSE,64
0007CB3491,5,FALSE,FALSE,62
0007CB0942,5,FALSE,FALSE,62
0007CD72E3,5,FALSE,FALSE,81
0007CB4837,5,TRUE,FALSE,62
0007CDAD6B,6,FALSE,FALSE,91
0007CB6AB4,6,FALSE,TRUE,73
0007CDE4F0,6,TRUE,FALSE,75
0007CD765E,6,FALSE,FALSE,75
0007CD5116,6,FALSE,FALSE,74
0007CD86B3,6,FALSE,FALSE,91
0007CDC395,6,TRUE,FALSE,77
0007CB7051,6,FALSE,TRUE,74
0007CDC443,6,FALSE,FALSE,73
0007CDADED,6,FALSE,FALSE,73
0007CE0327,7,FALSE,FALSE,85
0007CDEEE2,7,FALSE,FALSE,85
0007ACA781,7,FALSE,FALSE,85
0007ABF555,7,TRUE,FALSE,68
0007CD7FB2,7,TRUE,FALSE,70
0007CD81D3,7,FALSE,TRUE,66
0007CDEAA7,7,FALSE,FALSE,66
0007CD72E3,7,FALSE,TRUE,85
0007CD38E5,7,FALSE,TRUE,66
0007CB2224,7,FALSE,FALSE,68
0007CA3A3A,8,FALSE,FALSE,68
0007CB30A6,8,TRUE,FALSE,72
0007CDEC0B,8,FALSE,FALSE,87
0007CB486D,8,TRUE,FALSE,71
0007CDDBAF,8,FALSE,TRUE,70
0007CD5116,8,FALSE,FALSE,69
0007CD86B3,8,FALSE,TRUE,87
0007CDC91B,8,FALSE,FALSE,87
0007CDE223,8,FALSE,FALSE,87
0007CB0942,8,FALSE,FALSE,68
0007CB40DE,9,FALSE,FALSE,71
0007CB2302,9,TRUE,FALSE,71
0007CE0327,9,FALSE,FALSE,90
0007CB486D,9,TRUE,FALSE,74
0007CDEC0B,9,FALSE,FALSE,90
0007CDEEE2,9,FALSE,FALSE,90
0007CB3713,9,FALSE,FALSE,71
0007CB2224,9,FALSE,FALSE,73
0007CB47A6,9,FALSE,FALSE,72
0007CA3A3A,10,FALSE,FALSE,75
0007CB2302,10,TRUE,FALSE,75
0007CE0327,10,FALSE,FALSE,94
0007CB30A6,10,TRUE,FALSE,79
0007CDEC0B,10,FALSE,TRUE,94
0007CB3713,10,FALSE,FALSE,75
