Mouse_RFID,Group_ID,mutant,Timestamp_base3,RC,authority,hub,eigenvector_centrality,constraint,pagerank,incloseness,outcloseness,instrength,outstrength,indegree,outdegree,transitivity,summed cocitation,summed bibcoupling,summed insubcomponent,summed outsubcomponent,summed injaccard,summed outjaccard,out persistance
0007AC2B02,1,False,0,True,1.0,0.5685343659955133,1.0,0.4962877188216987,0.17234385636150612,0.0391304347826087,0.03879310344827586,483.0,340.0,9,9,0.6388888888888888,38,38,45,45,6.6,6.6,9.0
0007CB0942,1,False,0,False,0.329390178106385,0.17403712501402105,0.3477618575872852,0.4345233934773424,0.06648818023562134,0.06,0.09278350515463918,159.0,98.0,3,1,1.0,23,8,45,45,4.477380952380953,2.5345238095238094,1.0
0007CB44CE,1,False,0,False,0.4652580943401793,1.0,0.633811239754667,0.47425002863387583,0.12788499113342192,0.04,0.024,296.0,527.0,7,9,0.6388888888888888,35,40,45,45,6.841666666666667,6.6,7.0
0007CB7051,1,False,0,False,0.49401929797369915,0.4061735828075535,0.542350022640419,0.4668322886898331,0.10815539264528583,0.041474654377880185,0.05555555555555555,270.0,214.0,7,8,0.6428571428571429,36,36,45,45,6.841666666666667,6.233333333333333,7.0
0007CD6778,1,True,0,False,0.2264064874131481,0.27698497641150865,0.24474616021094933,0.44239741900681034,0.05364915910103821,0.08256880733944955,0.060810810810810814,113.0,157.0,4,4,0.8,27,24,45,45,5.446428571428571,4.832539682539682,3.0
0007CD765E,1,False,0,False,0.3372149239807101,0.22957087052876377,0.356007492318471,0.45944604332565525,0.06987614892132823,0.061224489795918366,0.0782608695652174,166.0,121.0,5,3,0.9,32,20,45,45,5.8539682539682545,4.533730158730159,3.0
0007CD77C5,1,True,0,True,0.7487897791464745,0.8441572580787341,0.8898736065063897,0.4853820679945354,0.1687302473531383,0.03529411764705882,0.03333333333333333,433.0,443.0,6,7,0.8095238095238094,35,36,45,45,6.872619047619048,6.411111111111111,6.0
0007CDADED,1,False,0,False,0.3648945649181268,0.41305410781946267,0.38732000544534195,0.4711150370264692,0.07549859712303954,0.0703125,0.05357142857142857,177.0,211.0,5,6,0.8666666666666666,32,33,45,45,6.51468253968254,6.0,5.0
0007CDC443,1,False,0,False,0.3043911274468406,0.25777055211577743,0.34055996988473713,0.44255271676583613,0.06934688862202582,0.056962025316455694,0.08333333333333333,158.0,143.0,5,4,0.7333333333333333,30,21,45,45,5.675396825396826,4.449603174603174,3.0
0007CDDBAF,1,False,0,False,0.39235530384861067,0.4278451595076721,0.44081188140453226,0.47598962660557087,0.08802653850359468,0.05202312138728324,0.07692307692307693,209.0,210.0,5,5,0.8666666666666666,34,28,45,45,6.671428571428571,5.412301587301587,4.0
0007CB2224,2,False,0,False,0.09205465204491764,0.09756455133936513,0.08655695984517532,0.5579548502393281,0.033835818607133424,0.140625,0.1875,65.0,76.0,0,1,,0,3,0,45,1.2,1.6206349206349207,1.0
0007CB3491,2,False,0,False,0.504457391303168,0.5667206360091493,0.5191428002194323,0.5493816492626358,0.10073196103976235,0.1111111111111111,0.140625,288.0,313.0,7,7,0.6071428571428571,27,28,45,45,5.8,5.958333333333333,7.0
0007CB4837,2,True,0,False,0.5826152541982953,0.7038261129730617,0.5919040744913046,0.5891892517641313,0.1061794530655053,0.09782608695652174,0.10112359550561797,308.0,385.0,6,6,0.7333333333333333,25,26,45,45,5.492063492063492,5.773809523809523,4.0
0007CB6AB4,2,False,0,True,1.0,1.0,1.0,0.6682056328689245,0.1926548493617964,0.0989010989010989,0.1111111111111111,612.0,626.0,8,7,0.6071428571428571,29,26,45,45,5.844444444444445,5.861111111111111,6.0
0007CD5116,2,False,0,False,0.08421431326122597,0.08493298319295586,0.07594406642279886,0.3399840796428708,0.0336130777766863,0.21428571428571427,0.17307692307692307,68.0,68.0,3,4,0.8333333333333334,13,20,45,45,3.70515873015873,4.65515873015873,3.0
0007CDE223,2,False,0,False,0.2620641665794385,0.3690547285416067,0.2785684583958278,0.5821500855841678,0.07192513561529612,0.16363636363636364,0.1232876712328767,179.0,223.0,4,4,0.6,12,21,45,45,3.3583333333333334,4.962301587301587,3.0
0007CDE4F0,2,True,0,False,0.14327867033867034,0.21369964851727086,0.14527732751186345,0.3893600921527242,0.03991992111538517,0.1956521739130435,0.13043478260869565,80.0,128.0,3,3,1.0,15,15,45,45,3.83015873015873,3.9369047619047617,3.0
0007CDEAA7,2,False,0,False,0.4091067586555699,0.3365252069718545,0.399044194101123,0.5288651581993102,0.07634717053269499,0.16071428571428573,0.16363636363636364,217.0,197.0,4,3,0.9,21,15,45,45,4.678571428571428,3.9797619047619044,3.0
0007CDEC0B,2,False,0,True,0.9774149783330086,0.8986895820041384,0.9859950278176777,0.6527126946132206,0.17774439625345087,0.075,0.1956521739130435,558.0,505.0,5,5,0.8666666666666666,24,25,45,45,5.488095238095238,5.696428571428572,4.0
0007CDEEE2,2,False,0,True,0.9828268777173267,0.6470192245420605,0.9298283717059891,0.7583624661340439,0.16704821663228905,0.20930232558139536,0.07964601769911504,547.0,401.0,5,5,0.9,24,25,45,45,5.488095238095238,5.674603174603175,4.0
0007CB0942,3,False,0,False,0.03249412046430411,0.07558881989361936,0.034056228750391646,0.3712233848121837,0.02874753631519036,0.2413793103448276,0.14,29.0,39.0,1,0,,3,0,28,0,1.5178571428571428,1.2,0.0
0007CD38E5,3,False,0,False,0.6752109044475871,1.0,0.8072805366090793,0.810872297460646,0.1993845271896879,0.1206896551724138,0.08045977011494253,528.0,497.0,6,6,0.9333333333333333,26,25,28,28,6.410714285714286,6.214285714285714,6.0
0007CD81D3,3,False,0,True,0.8128222074877074,0.9107948717902523,0.8931440741191594,0.8739521436088669,0.22063733907397337,0.07777777777777778,0.12727272727272726,620.0,481.0,6,6,0.9333333333333333,26,25,28,28,6.410714285714286,6.214285714285714,5.0
0007CD86B3,3,False,0,True,1.0,0.9036802106369296,1.0,0.8363979196997215,0.27155599998101715,0.05426356589147287,0.1,791.0,586.0,6,6,0.9333333333333333,26,25,28,28,6.410714285714286,6.214285714285714,6.0
0007CDC395,3,True,0,False,0.1400865914399026,0.16010342678554337,0.15723923101156495,0.6639409834569567,0.05213967919598226,0.07526881720430108,0.109375,104.0,84.0,5,4,0.6666666666666667,24,15,28,28,5.714285714285714,4.146428571428571,3.0
0007CDC91B,3,False,0,False,0.26091938193692,0.4214014823457352,0.2969390753125103,0.7730861317926718,0.0823626768450827,0.175,0.11290322580645161,191.0,200.0,5,6,0.9333333333333333,23,26,28,28,6.119047619047619,6.214285714285714,5.0
0007CDDBAF,3,False,0,True,0.19662406007198635,0.7098844946358741,0.2533032276602046,0.7654002687627675,0.07058758445759626,0.22580645161290322,0.1,140.0,359.0,4,5,1.0,20,23,28,28,5.380952380952381,5.517857142857142,5.0
0007CE0327,3,False,0,False,0.20977703845874277,0.6368335058368704,0.24920310703055543,0.7003638277351528,0.07458465694147003,0.1111111111111111,0.09333333333333334,156.0,313.0,5,5,0.9333333333333333,24,23,28,28,6.119047619047619,5.7142857142857135,4.0
0006CB224,4,False,0,False,0.07365936289349574,0.10175782802124081,0.07835892958700823,0.28611139034268485,0.03245953531460217,0.1956521739130435,0.1875,46.0,61.0,0,1,,0,3,0,45,1.2,1.4666666666666666,0.0
0007ABF555,4,True,0,False,0.2858355430568971,0.31048058560490527,0.35411508225690186,0.5564598962921512,0.07753352672457905,0.15254237288135594,0.16363636363636364,158.0,146.0,8,2,0.7857142857142857,41,11,45,45,6.622222222222223,3.833333333333333,1.0
0007AC2B02,4,False,0,False,0.6123862951854122,1.0,0.8639020428975764,0.5396695767471533,0.1889152322383695,0.08256880733944955,0.08256880733944955,419.0,463.0,8,8,0.7857142857142857,35,36,45,45,6.622222222222223,6.7666666666666675,8.0
0007ACA781,4,False,0,True,0.5297430906408482,0.5568625025787436,0.6214289261313131,0.6115664534564111,0.1465298023027526,0.09183673469387756,0.14285714285714285,335.0,296.0,7,8,0.7857142857142857,34,37,45,45,6.777777777777778,6.7666666666666675,8.0
0007CB7051,4,False,0,True,1.0,0.617578881644816,0.9999999999999999,0.7711610285424957,0.21037025568714077,0.08333333333333333,0.18,527.0,394.0,7,8,0.7857142857142857,34,37,45,45,6.777777777777778,6.7666666666666675,8.0
0007CD6778,4,True,0,False,0.31419746517824526,0.36232760799121655,0.36226351039001264,0.5747157560870196,0.07357293097090464,0.15517241379310345,0.15789473684210525,151.0,172.0,5,6,0.9047619047619048,29,34,45,45,6.089285714285714,6.601190476190475,5.0
0007CD765E,4,False,0,False,0.08312671193089426,0.2059815252546214,0.10476247369537944,0.3045298259422631,0.03162059460138837,0.2647058823529412,0.16981132075471697,42.0,80.0,3,5,1.0,21,30,45,45,4.912698412698413,5.696428571428572,4.0
0007CDADED,4,False,0,False,0.25782575117808076,0.29039578180468995,0.3029928390320815,0.5203502029236085,0.07469008245171485,0.15254237288135594,0.19148936170212766,149.0,148.0,4,4,0.6,21,26,45,45,4.513888888888889,5.3809523809523805,4.0
0007CDC443,4,False,0,False,0.35711208213172113,0.48494396458492045,0.43176923946463625,0.6593939660905478,0.09332108060322629,0.23684210526315788,0.09473684210526316,195.0,228.0,5,5,1.0,30,30,45,45,6.065476190476191,6.142857142857143,4.0
0007CDEAA7,4,False,0,False,0.2570853183598547,0.342023724242139,0.3120962163267002,0.532259397109154,0.07098695910532175,0.16666666666666666,0.10465116279069768,139.0,173.0,5,5,1.0,27,30,45,45,5.462301587301587,6.142857142857142,4.0
0007CB0942,5,False,0,False,0.3336653409710754,0.6350546306399946,0.35466329661801316,0.5930873488616888,0.06583690154285923,0.1111111111111111,0.0967741935483871,150.0,236.0,1,6,0.8,3,33,45,45,2.2734126984126983,5.388888888888889,1.0
0007CB2224,5,False,0,False,0.8533531529371152,1.0,0.9247080693302876,0.6036329120222224,0.1485414466434756,0.09,0.07692307692307693,387.0,368.0,7,7,0.6785714285714286,32,35,45,45,5.9527777777777775,6.430555555555555,7.0
0007CB3491,5,False,0,False,0.6984679098824976,0.8888709496671658,0.7295912685386996,0.5997299109854879,0.12009732616216309,0.05806451612903226,0.09090909090909091,315.0,329.0,9,7,0.6666666666666666,40,34,45,45,6.6,6.688888888888888,7.0
0007CB4837,5,True,0,False,0.2241440895041853,0.31916134554833403,0.23944764219442224,0.5382310241113349,0.04714447622637599,0.16666666666666666,0.13043478260869565,95.0,115.0,2,2,1.0,12,14,45,45,2.8634920634920635,3.261904761904762,2.0
0007CD72E3,5,False,0,False,0.8222579445234531,0.930729063361693,0.8573408023094388,0.7342284742556004,0.13879919277339445,0.11842105263157894,0.10588235294117647,368.0,368.0,7,6,0.8571428571428572,36,35,45,45,6.3999999999999995,6.888888888888889,6.0
0007CD77C5,5,True,0,False,0.8804918828524316,0.95984586817195,0.8977730495797179,0.6140577590764897,0.1456423911591238,0.06666666666666667,0.08737864077669903,395.0,376.0,7,7,0.8214285714285714,36,39,45,45,6.647222222222222,7.263888888888889,5.0
0007CDE223,5,False,0,True,0.9999999999999999,0.6438880288654206,1.0,0.6786894150809405,0.14900658348364976,0.08737864077669903,0.10975609756097561,415.0,256.0,7,6,0.8571428571428572,35,35,45,45,6.2444444444444445,6.888888888888889,6.0
0007CDEC0B,5,False,0,False,0.16512718634106696,0.2602046847136784,0.17641961447931567,0.5103977313094323,0.03928362311314004,0.16666666666666666,0.13043478260869565,72.0,104.0,5,4,0.8666666666666666,27,20,45,45,5.097222222222222,4.387301587301588,2.0
0007CDEEE2,5,False,0,False,0.7158390307989374,0.8629727738835626,0.7656942901304801,0.6312431801016389,0.11972272430022181,0.1,0.09782608695652174,310.0,305.0,6,6,0.8571428571428572,31,36,45,45,5.8805555555555555,6.912698412698412,5.0
0007CE0327,5,False,0,False,0.07641772600409269,0.2139764140581555,0.07780552767220572,0.36152876736586465,0.02592533459559611,0.2727272727272727,0.125,33.0,83.0,5,5,0.8666666666666666,28,31,45,45,5.4035714285714285,6.115079365079365,4.0
0007CB64B4,6,False,0,False,0.793188409400788,1.0,1.0,0.4487308874115983,0.2150093229499153,0.15789473684210525,0.21951219512195122,163.0,161.0,7,7,0.5714285714285714,26,30,45,45,5.2666666666666675,5.894444444444444,7.0
0007CB7051,6,False,0,True,1.0,0.48918676718905485,0.9887700800609668,0.5118864198317679,0.2030912803286663,0.28125,0.3103448275862069,187.0,93.0,9,8,0.5555555555555556,33,31,45,45,5.999999999999999,6.177777777777779,4.0
0007CD5116,6,False,0,False,0.05927678267813345,0.1074733641924997,0.05943350261419309,0.2974199809194545,0.02439182394028532,0.36,0.32142857142857145,10.0,16.0,2,2,0.6666666666666666,10,14,45,45,2.8992063492063487,3.5928571428571425,2.0
0007CD765E,6,False,0,False,0.009203821253269961,0.07940655947115728,0.012178230285093286,0.4100021226861015,0.018955379592071636,0.25,0.4090909090909091,3.0,24.0,1,5,0.4,7,20,45,45,3.020634920634921,3.8603174603174604,1.0
