Mouse_RFID,unique_identifier,group,repetition,fur_pattern,age,mutant,weight_pre,weight_post,weight_diff,rank_by_tube,DS_by_tube,rank_by_chasing,DS_by_chasing,chasing_pc1,chasing_pc2,log10(baseline_rate_mean),cs_plus_detection_speed,cs_plus_detection_speed_intraphase_shaping,cs_plus_detection_speed_crossreversal_shaping,cs_plus_pc1,cs_plus_pc2,cs_minus_pc1,cs_minus_pc2,switching_pc1,switching_pc2,switching_pc3,switching_pc4,switching_pc5,switching_pc6,shaping_pc1,shaping_pc2,shaping_pc3,time_in_arena_average,log10(corner_to_middle_ratio_average),ratio_social_to_total_time_average,social_interaction_pc1,social_interaction_pc2,social_interaction_pc3,social_interaction_pc4,social_interaction_pc5,social_interaction_pc6,social_interaction_pc7,social_interaction_pc8,social_interaction_pc9,RC,RC values,Mutants,Others,All,histology
0007CB44CE,12,1,1,7,55,FAUX,"25,92","24,82","-1,1",3,"7,7142857143",9,"-19,0714285714","-0,2355378554","0,6759170867","0,0280747269","0,15",1,1,"-0,9850968395","0,7276015526","1,2812830432","0,5630224126","1,7811782656","-0,1931109209","3,1588230971","1,169658964","-4,90126787","0,724481691","-1,9180482273","1,1303832263","0,6670487643","5186,6711111111","1,9262763179","0,1107831099","3,7857708522","-2,5931093782","0,4162756425","-3,4805652409","-2,4170339753","2,311149763","0,9138201346","-0,9084393769","0,3494824653",FAUX,"8459,2377777778","3344,8066666667","5186,6711111111","5186,6711111111",strong
0007CDDBAF,32,1,1,9,57,FAUX,"31,46","32,64","1,18",6,"-6,0595238095",7,"2,0454545455","0,2986637989","-0,6909505947","0,78380359","0,6","0,2666666667","5,3333333333","-1,7247193446","0,4764064102","-1,1890275142","0,4609726296","-1,2748883725","4,64635066","0,6443437133","2,2373550235","-1,2680795516","-0,1093764465","-0,2523738881","0,1261517447","0,8837055136","3852,7288888889","3,4688108072","0,1210080243","0,1470527374","-2,109328898","0,5621181167","-0,1059017183","0,3538305257","-4,0276081477","-1,2499215582","2,4407736571","1,5468236302",FAUX,"16292,34","1965,1444444445","3852,7288888889","3852,7288888889",strong
0007CD765E,22,1,1,5,57,FAUX,"31,68","31,11","-0,57",9,"-13,25",10,"-26,75","-2,8754160749","0,7834889165","-0,0563364269","0,45","1,1666666667","1,0909090909","-0,1729217103","0,3088563815","0,4054547952","0,4447174226","9,5623387269","-0,9699848376","-2,5177170815","0,3223144436","-0,7319164865","2,8175380771","1,5225798193","0,4611306733","1,540690387","2326,6022222222","1,4359824891","0,1052397822","-6,4676587965","1,2632598262","2,4526811234","0,533078287","-4,2021429121","0,4356327357","0,3071588044","-0,6981909067","-0,4082765642",FAUX,"6761,7222222222","5224,6564102564","2326,6022222222","2326,6022222222",strong
0007CB7051,17,1,1,4,56,FAUX,"32,58","33,98","1,4",1,"28,9619047619",4,"6,6872236958","3,5415575411","1,1869962681","0,1542549131","0,55","0,8333333333","1,5","-0,8011268976","1,0857939495","-1,1601705787","0,0429209158","7,1746813581","1,2126199087","-1,6109686338","2,786110156","-0,3411914265","1,2972218788","-0,8885565159","0,5500143951","0,823478086","4803,8088888889","1,1887579176","0,1008958632","2,784569967","-1,0339000522","1,9133000867","-0,285711909","-1,4639343249","-2,830285811","-0,7763398826","-0,1160137817","-1,3168224776",FAUX,"5220,4022222222","3224,6666666667","4803,8088888889","4803,8088888889",strong
0007CD77C5,23,1,1,10,57,VRAI,"32,71","33,98","1,27",2,"17,6666666667",2,"7,8630644718","2,136510379","1,0693175088","0,719899091","0,3","1,3333333333","1,1666666667","-1,9259502619","0,1258349518","-1,6208335462","0,2450228596","2,2932327225","3,2069135079","0,1455316902","3,1351162252","-0,0767673866","-2,0031400659","-1,5572881455","0,8508839082","1,3000577375","9067,12","1,4647634137","0,0911510797","6,6747145001","-0,8522174646","2,8008645282","-0,9886930046","-0,836799474","-0,5216464807","0,2522637032","-0,9783914674","-0,5202871588",VRAI,"13468,9743589744","2882,0794871795","3262,6711111111","9067,12",strong
0007AC2B02,2,1,1,3,55,FAUX,"33,59","33,34","-0,25",4,"2,7777777778",3,"7,8193046334","2,5313286898","0,7018449485","0,3487844078","0,3","0,7142857143",1,"-1,4686433313","-0,9441897685","-2,5612080318","0,2755124942","5,3566787149","0,9109728924","-0,2186774206","-1,0782986321","-1,1179258766","-2,2590392749","2,5011755753","-1,8863811495","-0,2795592602","8459,2377777778","1,2783152174","0,1019978947","7,6186384609","-0,6913253574","0,8496950415","-1,339321992","-0,7508159399","-0,134663135","-0,233382381","0,3492574882","-0,8418674587",VRAI,"11803,2717948718","1718,5166666667","3438,5288888889","8459,2377777778",strong
0007CB0942,5,1,1,1,55,FAUX,"34,36","34,69","0,33",8,"-11,75",8,"1,3273809524","1,8261192682","-0,2329697448","0,4066023677","0,15","1,3333333333","0,4","-1,5455596605","-0,3863319944","1,2583406316","3,3871440927","-5,5378008112","3,6835738036","2,4608300988","1,1649284415","-0,7179916212","0,4411569108","-2,6715055424","-0,1620346717","2,7771463133","3262,6711111111","1,6239739844","0,1156611965","-2,2274317195","0,5869574392","3,6607047673","2,1492829045","-2,4233679032","-3,3606060622","-0,0404973328","0,4950703046","-0,8384396293",FAUX,"10424,417948718","1994,8555555556","4711,24","3262,6711111111",strong
0007CD6778,20,1,1,2,57,VRAI,"36,42","37,81","1,39",7,"-6,8944444444",5,"6,2857142857","-1,6780893192","-1,2563530047","0,2752110168","0,3","1,1666666667","0,625","-1,164554171","0,1459699699","-0,2648106551","0,4912642254","-1,186355683","2,854589649","-0,0873660384","1,7787892305","-0,9729992998","1,0907342416","-1,0539027312","1,08619934","1,5013515731","3344,8066666667","1,2561828529","0,0647086063","-7,2787139954","-0,7057732932","1,0905951228","-0,9505064466","-3,5852813424","1,6083260698","0,243724151","-0,4106015758","-0,1025026532",FAUX,"5363,1820512821","2591,1277777778","5632,1911111111","3344,8066666667",weak
0007CDC443,30,1,1,6,55,FAUX,"36,46","37,53","1,07",5,"-2,25",6,"3,5833333333","-0,6739528671","-1,6866501465","0,7749191906","0,5",1,1,"-1,9649223911","-0,0030623921","-0,4201221408","3,2119509387","-1,0598611163","3,3530998552","-1,1859175715","0,8413831444","0,4395391926","0,2494689087","0,9470778287","1,9138622144","-1,0765938613","3438,5288888889","1,8123148427","0,1222047155","-1,0675367784","-1,5190379179","-1,0389502521","-0,1420160311","-1,1418752312","-4,3873760723","-0,4919788967","1,3518553165","1,6839821585",FAUX,"6550,6307692308","1795,6047619048","5103,4822222222","3438,5288888889",strong
0007CDADED,28,1,1,8,55,FAUX,"36,89","37,75","0,86",10,"-16,9166666667",1,"10,2099526535","-1,9904837909","-2,5924610089","0,4321964337","0,1","1,5","0,2","-1,6966732107","0,1817673059","1,4629881838","3,1528091153","-3,2034671893","2,7897237963","-0,2656079939","-0,0114573705","-0,2685477557","1,0435418228","-0,8265263155","1,913014186","1,2217060602","4711,24","1,8630457935","0,092649352","-1,0871036329","-0,200297757","2,8833422061","1,3067107152","-1,5099233635","-2,9550407087","0,1980487322","1,3324216354","-0,5341663429",FAUX,"4716,580952381","3228,4166666667","1378,7755555556","4711,24",strong
