ID,0007CA3A3A,0007CB0942,0007CB2302,0007CB30A6,0007CB3713,0007CB47A6,0007CDDBAF,0007CDE223,0007CDEC0B,0007CE0327
0007CA3A3A,0,44,163,58,71,47,168,72,107,34
0007CB0942,44,0,18,66,24,35,146,83,56,34
0007CB2302,163,18,0,65,36,19,57,32,28,56
0007CB30A6,58,66,65,0,10,23,61,52,21,17
0007CB3713,71,24,36,10,0,63,65,56,78,54
0007CB47A6,47,35,19,23,63,0,127,135,95,119
0007CDDBAF,168,146,57,61,65,127,0,377,213,90
0007CDE223,72,83,32,52,56,135,377,0,279,141
0007CDEC0B,107,56,28,21,78,95,213,279,0,62
0007CE0327,34,34,56,17,54,119,90,141,62,0
