ID,0006CB224,0007ABF555,0007AC2B02,0007ACA781,0007CB7051,0007CD6778,0007CD765E,0007CDADED,0007CDC443,0007CDEAA7
0006CB224,0,96.7666666666667,34.3333333333333,11.0333333333333,18.8666666666667,3.53333333333333,0,26.8,236.133333333333,27.4
0007ABF555,96.7666666666667,0,83.8333333333333,77.9,39.7666666666667,11.4666666666667,3.8,83.3666666666667,27.9,16.9333333333333
0007AC2B02,34.3333333333333,83.8333333333333,0,77.1,102.2,21.2666666666667,0,26.3333333333333,53.4666666666667,21.8333333333333
0007ACA781,11.0333333333333,77.9,77.1,0,67,71.1,0,237.066666666667,124.566666666667,106.233333333333
0007CB7051,18.8666666666667,39.7666666666667,102.2,67,0,34.0333333333333,6,119.233333333333,122.433333333333,24.4
0007CD6778,3.53333333333333,11.4666666666667,21.2666666666667,71.1,34.0333333333333,0,2.6,63.4666666666667,136.8,354.266666666667
0007CD765E,0,3.8,0,0,6,2.6,0,3.5,3.26666666666667,0
0007CDADED,26.8,83.3666666666667,26.3333333333333,237.066666666667,119.233333333333,63.4666666666667,3.5,0,472.733333333333,11.9
0007CDC443,236.133333333333,27.9,53.4666666666667,124.566666666667,122.433333333333,136.8,3.26666666666667,472.733333333333,0,57.6333333333333
0007CDEAA7,27.4,16.9333333333333,21.8333333333333,106.233333333333,24.4,354.266666666667,0,11.9,57.6333333333333,0
