ID,0007CB64B4,0007CB7051,0007CD5116,0007CD765E,0007CD86B3,0007CDAD6B,0007CDADED,0007CDC395,0007CDC443,0007CDE4F0
0007CB64B4,0,0.55,0.235294117647059,0,0.524193548387097,0.642857142857143,0.428571428571429,0.5,0.6,0.166666666666667
0007CB7051,0.45,0,0,0.142857142857143,0.362068965517241,0.545454545454545,0.263157894736842,0.304347826086957,0.185185185185185,0.161290322580645
0007CD5116,0.764705882352941,1,0,0,0.333333333333333,0,0,1,0,0
0007CD765E,0,0.857142857142857,1,0,0,1,1,0,0.857142857142857,1
0007CD86B3,0.475806451612903,0.637931034482759,0.666666666666667,0,0,0.75,0.5,0.413793103448276,0.272727272727273,0.482758620689655
0007CDAD6B,0.357142857142857,0.454545454545455,0,0,0.25,0,1,1,0.5,0
0007CDADED,0.571428571428571,0.736842105263158,1,0,0.5,0,0,0.647058823529412,0.5,0.724137931034483
0007CDC395,0.5,0.695652173913043,0,0,0.586206896551724,0,0.352941176470588,0,0.6,0
0007CDC443,0.4,0.814814814814815,0,0.142857142857143,0.727272727272727,0.5,0.5,0.4,0,0.4
0007CDE4F0,0.833333333333333,0.838709677419355,1,0,0.517241379310345,1,0.275862068965517,1,0.6,0
