ID,0007CA3A3A,0007CB0942,0007CB30A6,0007CB486D,0007CD5116,0007CD86B3,0007CDC91B,0007CDDBAF,0007CDE223,0007CDEC0B
0007CA3A3A,0,20,37,108,9,51,122,42,94,48
0007CB0942,24,0,9,31,7,40,34,16,47,39
0007CB30A6,34,6,0,33,3,49,49,16,39,24
0007CB486D,106,28,45,0,15,125,147,77,149,128
0007CD5116,9,3,10,7,0,14,9,13,25,12
0007CD86B3,51,29,44,124,10,0,158,103,173,95
0007CDC91B,66,38,38,82,4,119,0,81,121,53
0007CDDBAF,53,17,28,86,9,97,95,0,160,65
0007CDE223,78,45,43,125,12,189,162,113,0,106
0007CDEC0B,75,41,42,108,5,154,111,69,152,0
