"","start_frame","focal","partner","focal_smooth","partner_smooth","day","group","approacher_smooth"
"1",694715,"0007AC2B02","0007CB0942",111.989223005692,NA,"9",1,NA
"2",768570,"0007AC2B02","0007CB0942",16.7299018720466,NA,"9",1,NA
"3",768621,"0007AC2B02","0007CB0942",25.3228485749205,9.78416536360069,"9",1,"0007AC2B02"
"4",768695,"0007AC2B02","0007CB0942",23.0235748095133,15.9381917138893,"9",1,"0007AC2B02"
"5",769225,"0007AC2B02","0007CB0942",11.2341704809554,NA,"9",1,NA
"6",769775,"0007AC2B02","0007CB0942",4.3305452852858,16.7928952022499,"9",1,"0007CB0942"
"7",770034,"0007AC2B02","0007CB0942",2.38946152751565,16.9384502756244,"9",1,"0007CB0942"
"8",772279,"0007AC2B02","0007CB0942",26.6117204949397,18.9440653787558,"9",1,"0007AC2B02"
"9",772758,"0007AC2B02","0007CB0942",NA,38.6715059201559,"9",1,NA
"10",790928,"0007AC2B02","0007CB0942",34.3186542012184,NA,"9",1,NA
"11",791021,"0007AC2B02","0007CB0942",28.8268156415164,27.8779090755733,"9",1,"0007AC2B02"
"12",852175,"0007AC2B02","0007CB0942",317.019556346155,NA,"9",1,NA
"13",858627,"0007AC2B02","0007CB0942",NA,28.5107389472486,"9",1,NA
"14",858841,"0007AC2B02","0007CB0942",42.903319362811,43.0838085122657,"9",1,"0007CB0942"
"15",860379,"0007AC2B02","0007CB0942",27.186798375775,NA,"9",1,NA
"16",920791,"0007AC2B02","0007CB0942",27.9128269971,NA,"9",1,NA
"17",1283027,"0007AC2B02","0007CB0942",708.250790511754,356.471086174513,"9",1,"0007AC2B02"
"18",1334809,"0007AC2B02","0007CB0942",NA,30.4109066076746,"9",1,NA
"19",1762862,"0007AC2B02","0007CB0942",362.262274088452,287.242525306523,"9",1,"0007AC2B02"
"20",675238,"0007AC2B02","0007CB44CE",46.2548892221817,NA,"9",1,NA
"21",675309,"0007AC2B02","0007CB44CE",92.5168299363047,11.1598659116391,"9",1,"0007AC2B02"
"22",694705,"0007AC2B02","0007CB44CE",123.043985520321,28.0754649693792,"9",1,"0007AC2B02"
"23",872527,"0007AC2B02","0007CB44CE",23.0726931899914,17.8920877646957,"9",1,"0007AC2B02"
"24",919819,"0007AC2B02","0007CB44CE",36.2856952402642,NA,"9",1,NA
"25",919929,"0007AC2B02","0007CB44CE",62.1757484881309,24.5795029586425,"9",1,"0007AC2B02"
"26",920159,"0007AC2B02","0007CB44CE",48.2211642968892,42.1807752272013,"9",1,"0007AC2B02"
"27",920354,"0007AC2B02","0007CB44CE",47.9359982571281,80.0156179191193,"9",1,"0007CB44CE"
"28",920442,"0007AC2B02","0007CB44CE",63.2632932945077,82.7841917718922,"9",1,"0007CB44CE"
"29",920490,"0007AC2B02","0007CB44CE",71.6832078147457,53.7572016401073,"9",1,"0007AC2B02"
"30",921401,"0007AC2B02","0007CB44CE",26.142087348596,25.8933684039477,"9",1,"0007AC2B02"
"31",926342,"0007AC2B02","0007CB44CE",17.2661889903182,62.3384156398233,"9",1,"0007CB44CE"
"32",927473,"0007AC2B02","0007CB44CE",172.774000562502,58.6369733942979,"9",1,"0007AC2B02"
"33",957958,"0007AC2B02","0007CB44CE",NA,38.9733113367196,"9",1,NA
"34",958010,"0007AC2B02","0007CB44CE",11.4202940842642,51.3816414672231,"9",1,"0007CB44CE"
"35",958118,"0007AC2B02","0007CB44CE",44.0072760763351,63.9106358690659,"9",1,"0007CB44CE"
"36",958424,"0007AC2B02","0007CB44CE",NA,67.7290297447449,"9",1,NA
"37",960368,"0007AC2B02","0007CB44CE",211.605472227642,34.0944850093129,"9",1,"0007AC2B02"
"38",962019,"0007AC2B02","0007CB44CE",173.258678299796,53.0671248446574,"9",1,"0007AC2B02"
"39",962156,"0007AC2B02","0007CB44CE",266.666123775508,154.719202867127,"9",1,"0007AC2B02"
"40",962213,"0007AC2B02","0007CB44CE",281.631279983626,235.602530405601,"9",1,"0007AC2B02"
"41",1275872,"0007AC2B02","0007CB44CE",44.3931213910257,31.143336432002,"9",1,"0007AC2B02"
"42",1278054,"0007AC2B02","0007CB44CE",36.4255532036271,NA,"9",1,NA
"43",1278354,"0007AC2B02","0007CB44CE",22.2919165069086,NA,"9",1,NA
"44",1282857,"0007AC2B02","0007CB44CE",313.020718610331,197.663210691637,"9",1,"0007AC2B02"
"45",1282926,"0007AC2B02","0007CB44CE",149.978641241867,60.22408431184,"9",1,"0007AC2B02"
"46",1311740,"0007AC2B02","0007CB44CE",89.6445499012648,56.9549292131304,"9",1,"0007AC2B02"
"47",1311914,"0007AC2B02","0007CB44CE",124.331952744273,NA,"9",1,NA
"48",1413209,"0007AC2B02","0007CB44CE",37.4903557639214,282.949232340885,"9",1,"0007CB44CE"
"49",1432489,"0007AC2B02","0007CB44CE",24.0110040169942,13.3182066611976,"9",1,"0007AC2B02"
"50",1627161,"0007AC2B02","0007CB44CE",37.4250834119873,52.5295324671585,"9",1,"0007CB44CE"
"51",1627297,"0007AC2B02","0007CB44CE",62.9043325046044,79.646350058463,"9",1,"0007CB44CE"
"52",1627425,"0007AC2B02","0007CB44CE",71.2994487140733,31.0655331734958,"9",1,"0007AC2B02"
"53",1628039,"0007AC2B02","0007CB44CE",20.7918553631956,19.2552504949263,"9",1,"0007AC2B02"
"54",1628485,"0007AC2B02","0007CB44CE",34.7259455230669,6.78441632649759,"9",1,"0007AC2B02"
"55",1629075,"0007AC2B02","0007CB44CE",15.2883962947005,29.62930370359,"9",1,"0007CB44CE"
"56",1767878,"0007AC2B02","0007CB44CE",NA,6.56331615040998,"9",1,NA
"57",1784156,"0007AC2B02","0007CB44CE",NA,162.389455736302,"9",1,NA
"58",1796947,"0007AC2B02","0007CB44CE",48.8140501222312,48.0396415732822,"9",1,"0007AC2B02"
"59",1797509,"0007AC2B02","0007CB44CE",214.285410198493,38.171818402353,"9",1,"0007AC2B02"
"60",2382482,"0007AC2B02","0007CB44CE",335.281742240055,84.497563133557,"9",1,"0007AC2B02"
"61",2546698,"0007AC2B02","0007CB44CE",NA,167.380866063852,"9",1,NA
"62",677359,"0007AC2B02","0007CB7051",56.419051428082,NA,"9",1,NA
"63",920666,"0007AC2B02","0007CB7051",45.7698374645139,NA,"9",1,NA
"64",920716,"0007AC2B02","0007CB7051",32.610128385001,37.6367813002636,"9",1,"0007CB7051"
"65",920858,"0007AC2B02","0007CB7051",28.8124979109087,NA,"9",1,NA
"66",921319,"0007AC2B02","0007CB7051",24.611189735036,14.952945998142,"9",1,"0007AC2B02"
"67",921495,"0007AC2B02","0007CB7051",29.708374085777,16.3981825528121,"9",1,"0007AC2B02"
"68",922054,"0007AC2B02","0007CB7051",19.1562334688482,21.5355384114237,"9",1,"0007CB7051"
